Pneumomediastinum	HP:0025421
Dental enamel pits	None
Tooth enamel pits	None
Pitting of tooth enamel	None
Dental enamel pitting	None
Flexion contracture of the hallux	None
Joint contracture of the big toe	None
Joint contracture of the hallux	None
Contracture of the tarsometatarsal joint of the hallux	None
Contracture of the interphalangeal joint of the hallux	None
Contractures of the metatarsophalangeal joint of the hallux	None
Flexion contracture of the 2nd toe	None
Joint contractures of the 2nd toe	None
Joint contractures of the 3rd toe	None
Flexion contracture of 3rd toe	None
Joint contractures of the 4th toe	None
Flexion contracture of the 4th toe	None
Flexion contracture of the 5th toe	None
Joint contractures of the 5th toe	None
Keloids	None
Dentinogenesis imperfecta of baby teeth	None
Dentinogenesis imperfecta limited to primary teeth	None
Dentin dysplasia	None
Localized hypoplasia of dental enamel	None
Localized dysplasia of tooth enamel	None
Localized hypoplasia of tooth enamel	None
Decreased enamel calcification	None
Hypocalcification of dental enamel	None
Poorly calcified tooth enamel	None
Soft teeth	None
Hypomature dental enamel	None
Immature tooth enamel	None
Soft tooth enamel	None
Dentinogenesis imperfecta of primary and permanent teeth	None
Dentinogenesis imperfecta of adult and baby teeth	None
Dentinogenesis imperfecta of both sets of teeth	None
Lipomatous tumor	None
Fatty lump	None
Lipoma	None
Noncancerous fatty lump	None
Sacral lipoma	None
Liposarcoma	None
Myxoid liposarcoma	None
Permanent flexion of the finger or toe	None
Camptodactyly	None
Bilateral wrist flexion contracture	None
Bilateral wrist contracture	None
Unilateral wrist flexion contracture	None
Unilateral wrist contracture	None
Inflammation of adipose tissue	None
Panniculitis	None
Inflammation of fat tissue	None
Flexion contracture of finger	None
Flexion deformity of finger	None
Disciform macular scar	None
Reduced intraabdominal adipose tissue	None
Posterolateral diaphragmatic hernia	None
Bochdalek hernia	None
Morgagni hernia	None
Morgagni diaphragmatic hernia	None
Central diaphragmatic hernia	None
Central hernia	None
Dorsocervical fat pad	None
Buffalo hump	None
Diet-resistant subcutaneous adipose tissue	None
Diet-resistant subcutaneous adipose tissue below waist	None
Flexion contracture of digit	None
Bethlem phenomenon	None
Bethlem sign	None
Contracture of proximal interphalangeal joints of 2nd-5th fingers	None
Adipocyte hypertrophy	None
Fat cell hypertrophy	None
Lipoma of the tongue	None
Tongue lipoma	None
Widened atrophic scar	None
Lower extremity subcutanous fat hypertrophy	None
Musculotendinous retraction	None
Decreased fat tissue	None
Decreased adipose tissue	None
Fatty tumors on the eyelids.	None
Lipomas of eyelids	None
Eosinophilic fasciitis	None
Lipomas of the central nervous system	None
Multiple central nervous system lipomas	None
Camptodactyly of the 2nd toe	None
Contracture of the proximal interphalangeal joint of the 2nd toe	None
Camptodactyly of the second toe	None
Contracture of the proximal interphalangeal joint of the 3rd toe	None
Camptodactyly of the 3rd toe	None
Camptodactyly of the fourth toe	None
Camptodactyly of the 4th toe	None
Contracture of the proximal interphalangeal joint of the 4th toe	None
Contracture of the innermost hinge joint of the 4th toe	None
Camptodactyly of the fifth toe	None
Camptodactyly of the 5th toe	None
Contractures of the proximal interphalangeal joint of the 5th toe	None
Contracture of the distal interphalangeal joint of the second toe	None
Contracture of the distal interphalangeal joint of the 2nd toe	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Contracture of the distal interphalangeal joint of the 4th toe	None
Contractures of the distal interphalangeal joint of the 5th toe	None
Contracture of the outermost hinge joint of the 5th toe	None
Contracture of the metatarsophalangeal joint of the 2nd toe	None
Contracture of the metatarsophalangeal joint of the 3rd toe	None
Contracture of the metatarsophalangeal joint of the 4th toe	None
Contracture of the metatarsophalangeal joint of the 5th toe	None
Contractures of the joints of the upper limbs	None
Camptodactyly of finger	None
Permanent flexion of the finger	None
Camptodactyly of hands	None
Proximal interphalangeal finger joint contractures	None
Contractures of the proximal interphalangeal joints of the fingers	None
Camptodactyly of proximal interphalangeal joint	None
Flexion contractures of proximal interphalangeal joints	None
Joint contractures involving the joints of the feet	None
Abnormality of the fascia	None
Inflammation of the fascia	None
Fasciitis	None
Femoral hernia	None
Crural hernia	None
Lipoatrophy	None
Atrophy of fat	None
Loss of fat tissue in localized area	None
Cystocele	None
Bladder hernia	None
Bladder prolapse	None
Prolapsed bladder	None
Dropped bladder	None
Bacterial infection of skin	None
Skin infection	None
Cellulitis	None
Vaginal hernia	None
Abnormal Sharpey fiber morphology	None
Abnormality of Sharpey fibers	None
Enthesis abnormality	None
Inflammation of sharpey fibers	None
Enthesitis	None
Lipedema	None
Scar tissue	None
Scarring	None
Abnormality of the cementum	None
Hernias	None
Hernia	None
Urethrocele	None
Rectocele	None
Genital hernia	None
Atrophodermia vermiculata	None
Vermiculata atrophoderma	None
Congenital mesoblastic nephroma	None
Connective tissue nevi	None
Tumor of fatty tissue	None
Neoplasm of fatty tissue	None
Macular scar	None
Macular scarring	None
Abnormality of tooth hard tissue	None
Abnormality of odontoid tissue	None
Abnormality of hard tissues of teeth	None
Abnormality of the breast	None
Enlarged male breast	None
Gynaecomastia	None
Gynecomastia	None
Hypoplastic nipples	None
Small nipples	None
Nipple hypoplasia	None
accessory mamilla	None
accessory mamillas	None
Supernumerary nipples	None
Accessory nipples	None
Increased nipple number	None
Accessory nipple	None
Supernumerary nipple	None
Athelia	None
Absent nipple	None
Absent nipples	None
Low-set nipples	None
Breast carcinoma	None
Breast cancer	None
Inverted nipples	None
Invaginated nipples	None
Underdeveloped breasts	None
Breast hypoplasia	None
Abnormal nipple morphology	None
Abnormality of the nipple	None
Prominent nipples	None
Widely spaced nipples	None
Widely-spaced nipples	None
Wide-spaced nipples	None
Wide intermamillary distance	None
Multifocal breast carcinoma	None
Multifocal breast cancer	None
Absent/small nipples	None
Absent/underdeveloped nipples	None
Nipples absent or rudimentary	None
Aplasia/Hypoplasia of the nipples	None
Absent/rudimentary nipples	None
Absent/underdeveloped breasts	None
Aplasia/Hypoplasia of the breasts	None
Absent/small breasts	None
Asymmetry of the breasts	None
Gigantomastia	None
Macromastia	None
Breast hypertrophy	None
Hypertrophy of the breasts	None
Breast fibroadenoma	None
Breast fibroadenomas	None
Fibroadenoma of the breast	None
One underdeveloped breast	None
Unilateral breast hypoplasia	None
Two underdeveloped breasts	None
Bilateral breast hypoplasia	None
Ductal carcinoma in situ	None
Lobular carcinoma in situ	None
Abnormal breast morphology	None
Abnormal breast physiology	None
Lactation incapacity	None
Agalactia	None
Dry nipple	None
Abnormally dry skin in the area of the nipple of the breast.	None
Abnormal areolar morphology	None
Areolar fullness	None
Breast lump	None
Breast mass	None
Abnormal intermamillary distance	None
Short intermamillary distance	None
Neoplasia of the breast	None
Tumours of the breast	None
Breast tumor	None
Neoplasm of the breast	None
Breast aplasia	None
Congenital absence of breast	None
Absent breast	None
Mammary gland aplasia	None
Galactorrhea	None
Spontaneous milk flow from breast	None
Galactorrhoea	None
Hypoplastic areolae	None
Hypoplastic areola	None
Abnormal shape of hypophysial fossa	None
Abnormal shape of pituitary fossa	None
Deformed sella turcica	None
Malformation of sella turcica	None
Malformation of pituitary fossa	None
Deformity of pituitary fossa	None
Abnormal shape of sella turcica	None
Malformation of hypophysial fossa	None
Deformity of hypophysial fossa	None
Abnormality of palatine uvula	None
Abnormality of the uvula	None
Atrophy of lingual surface	None
Smooth tongue	None
Smooth dorsum of tongue	None
Atrophy of tongue surface	None
Smooth lingual surface	None
Smooth surface of tongue	None
Atrophy of dorsum of tongue	None
Abnormality of genioglossus muscle	None
Prominent back of the head	None
Prominent occiput	None
Prominent posterior head	None
Prominent back of the skull	None
Prominent posterior cranium	None
Protruding occiput	None
Protruding back of the head	None
Prominent posterior skull	None
Anomaly of the palatine bone	None
Malformation of the palatine bone	None
Deformity of the palatine bone	None
Abnormality of the palatine bone	None
Increased tooth count	None
Supernumary teeth	None
More teeth than normal	None
Extra teeth	None
Supernumerary tooth	None
Supernumerary teeth	None
Supernumary dentition	None
Supplemental dentition	None
Increased number of teeth	None
Supplemental teeth	None
Hyperdontia	None
Microcephaly, progressive	None
Progressively abnormally small skull	None
Microcephaly, postnatal, progressive	None
Progressive microcephaly	None
Progressively abnormally small cranium	None
Spider veins of the mouth	None
Angioectasias of the mouth	None
Spider veins of the oral cavity	None
Oral cavity teleangiectasia	None
Angioectasias of the oral cavity	None
Oral cavity telangiectasia	None
Abnormality of uvular muscle	None
Abnormality of musculus uvulae	None
Rhinitis	None
Nasal inflammation	None
Aplasia/Hypoplasia involving the sinuses	None
Absence of overlap of upper and lower teeth	None
Open bite between upper and lower teeth	None
Open bite	None
Midline skin dimples over anterior/posterior fontanelles	None
Limited neck mobility	None
Limitation of neck motion	None
Restricted neck movement	None
Darkening of the forehead	None
Forehead hyperpigmentation	None
Scalp pain	None
Scalp tenderness	None
Allodynia of scalp	None
Scalp hypersensitivity	None
Dry mouth	None
Decreased salivary flow	None
Dry mouth syndrome	None
Xerostomia	None
Reduced salivation	None
Anomaly of the pituitary fossa	None
Anomaly of the hypophysial fossa	None
Abnormality of the sella turcica	None
Anomaly of the sella turcica	None
Abnormality of the hypophysial fossa	None
Abnormality of the pituitary fossa	None
Abnormality of muscle of facial expression	None
Abnormality of musculature of facial expression	None
Aplasia of the nares	None
Missing nostrils	None
Aplasia/Hypoplasia of the nares	None
Absent nares	None
Abouphalia	None
Small paranasal sinus	None
Decreased pneumatization of paranasal sinus	None
Hypotrophic paranasal sinus	None
Decreased volume of paranasal sinus	None
Decreased size of paranasal sinus	None
Atelectasis of paranasal sinus	None
Decreased growth of paranasal sinus	None
Paranasal sinus hypoplasia	None
Underdevelopment of paranasal sinus	None
Hypertrophy of calvarial bones	None
Enlargement of calvarial bones	None
Thick calvarial bones	None
Excessive growth of calvarial bones	None
Hyperostosis of calvarial bones	None
Overgrowth of calvarial bones	None
Increased ossification of calvarial bones	None
Overgrowth of skullcap	None
Calvarial hyperostosis	None
Puffiness around eye	None
Periorbital puffiness	None
Fullness around the eyes	None
Periorbital fullness	None
Absent mastoids	None
Failure of development of mastoid	None
Absent mastoid	None
Mastoid agenesis	None
Bilateral coronal craniosynostosis	None
Bilateral coronal suture craniosynostosis	None
Bilateral coronal suture synostosis	None
Bicoronal synostosis	None
Postnatal microcephaly	None
Deceleration of head growth	None
Microcephaly, acquired	None
Development of small head that was not present at birth	None
Postnatal deceleration of head circumference	None
Secondary microcephaly	None
Acquired microcephaly	None
Microcephaly, postnatal	None
Tumor of the pharynx	None
Pharyngeal neoplasm	None
Neoplasm of the pharynx	None
Neoplasia of the pharynx	None
Tessier number 13 facial cleft	None
Increased height of philtrum	None
Vertical hyperplasia of philtrum	None
Increased length of philtrum	None
Elongated philtrum	None
Long philtrum	None
Increased vertical dimension of philtrum	None
Absent palatine bone ossification	None
Absence of palatine bone mineralization	None
Absence of palatine bone formation	None
Absence of palatine bone calcification	None
Failure of development of permanent molar	None
Absence of adult molar	None
Missing permanent molar	None
Absence of permanent molar	None
Agenesis of secondary molar	None
Missing adult molar	None
Agenesis of permanent molar	None
Failure of development of secondary molar	None
Bad bite	None
Angle class 3 malocclusion	None
Malocclusion of teeth	None
Bilateral crossbite	None
Angle class 2 malocclusion	None
Dental malocclusion	None
Misalignment of upper and lower dental arches	None
