Abnormality of the breast	HP:0000769
Dupuytren contracture	None
Distal arthrogryposis	None
Congenital foot contractures	None
Contractures, lower limbs	None
Contractures of the joints of the lower limbs	None
Contractures of the large joints	None
Flexion contracture of toe	None
Toe contractures	None
Contractures involving the toes	None
Contractures of the toes	None
Congenital foot contraction deformities	None
Joint contractures, progressive	None
Progressive flexion contractures	None
Congenital finger contractures	None
Congenital finger flexion contractures	None
Loss of fat around neck	None
Loss of adipose tissue around the neck	None
Decreased adipose tissue around neck	None
Restricted neck mobility due to contractures	None
Neck flexion contracture	None
Restricted neck movement due to contractures	None
Generalized hypoplasia of tooth enamel	None
Generalized dysplasia of tooth enamel	None
Generalized hypoplasia of dental enamel	None
Decreased enamel mineralisation	None
Mottled tooth enamel	None
Hypomineralization of enamel	None
Fluorosis of tooth enamel	None
Increased porosity of tooth enamel	None
White spot lesions of tooth enamel	None
Poorly mineralized tooth enamel	None
Thin dental enamel	None
Dysplasia of tooth enamel	None
Thin tooth enamel	None
Enamel dysplasia	None
Dental enamel hypoplasia	None
Defective enamel matrix	None
Hypoplasia of tooth enamel	None
Underdeveloped teeth enamel	None
Enamel hypoplasia	None
Hypoplasia of dental enamel	None
Adductor longus contractures	None
Inability to straighten knee	None
Knee contracture	None
Flexion contractures at both knees	None
Flexion contractures of knees	None
Flexion contracture of knees	None
Contractures of the knees	None
Knee flexion contractures	None
Knee flexion deformity	None
Knee flexion contracture	None
Contractures of knees	None
Flexion deformity of the knee	None
Knee contractures	None
Contractures of the ankles	None
Ankle flexion contracture	None
Ankle contracture	None
Ankle contractures	None
Cutaneous angiolipomas	None
Midline CNS lipomas	None
Midline central nervous system lipomas	None
Lipoma of corpus callosum	None
Absent fat below the skin	None
Lack of fatty tissue below the skin	None
Absence of subcutaneous fat	None
General absence of subcutaneous fat	None
Yellow subcutaneous tissue covered by thin, scaly skin	None
Frontal cutaneous lipoma	None
Abnormal subcutaneous fat tissue distribution	None
Abnormal fat tissue distribution below the skin	None
Painful subcutaneous lipomas	None
Painful noncancerous fat tissue tumor under the skin	None
Chorioretinal scar	None
Plantar flexion contractures	None
Contractures of the foot joints	None
Contractures involving the joints of the feet	None
Adipose tissue loss	None
Loss of fat tissue	None
Increased IM fat	None
Increased intramuscular fat	None
Increased intraabdominal fat	None
Loss of truncal subcutaneous adipose tissue	None
Loss of truncal adipose tissue	None
Loss of subcutaneous truncal adipose tissue	None
Loss of fat tissue in trunk	None
Increased fat below the skin in trunk	None
Increased subcutaneous truncal adipose tissue	None
Loss of fat tissue below the skin in gluts	None
Loss of gluteal subcutaneous adipose tissue	None
Facial fat wasting	None
Progressive loss of facial fat	None
Progressive loss of facial subcutaneous adipose tissue	None
Facial fat atrophy	None
Progressive loss of facial adipose tissue	None
Progressive loss of subcutaneous adipose tissue from face	None
Loss of subcutaneous adipose tissue from face, progressive	None
Atrophy of facial adipose tissue	None
Increased connective tissue	None
Loss of fat tissue below the skin from upper limbs	None
Loss of subcutaneous adipose tissue from upper limbs	None
Congenital generalized lipodystrophy	None
Generalized lipodystrophy	None
Lipodystrophy, generalized	None
Abnormality of fatty tissue	None
Abnormal adipose tissue morphology	None
Abnormality of fat tissue	None
Abnormality of adipose tissue	None
Lipodystrophy	None
Inability to make and keep healthy fat tissue	None
Increased adipose tissue	None
Increased fat tissue	None
Fifth finger camptodactyly	None
Joint contracture of the 5th finger	None
Contracture of the distal interphalangeal joint of the 5th finger	None
5th finger camptodactyly	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Contracture of the metacarpophalangeal joint of the 5th finger	None
Joint contracture of the 4th finger	None
Joint contractures of the fourth finger	None
Contracture of the distal interphalangeal joint of the 4th finger	None
Camptodactyly of the ring finger	None
Camptodactyly of the 4th finger	None
Contracture of the proximal interphalangeal joint of the 4th finger	None
4th finger camptodactyly	None
Contracture of the metacarpophalangeal joint of the 4th finger	None
Joint contracture of the 3rd finger	None
Camptodactyly of middle finger	None
Contracture of the outermost hinge joint of the 3rd finger	None
Contracture of the distal interphalangeal joint of the 3rd finger	None
Contracture of the metacarpophalangeal joint of the 3rd finger	None
Camptodactyly of the third finger	None
Contracture of the proximal interphalangeal joint of the 3rd finger	None
Camptodactyly of the 3rd finger	None
Contractures of the hands	None
Joint contracture of the hand	None
Contractures involving the hands	None
Joint contractures of the 2nd finger	None
Flexion contracture of the 2nd finger	None
Contracture of the distal interphalangeal joint of the 2nd finger	None
Contracture of the metacarpophalangeal joint of the 2nd finger	None
Camptodactyly of 2nd finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of index finger	None
Camptodactyly of second finger	None
Joint contractures of the thumb	None
Flexion contracture of thumb	None
Contracture of thumb	None
Flexion deformities of thumbs	None
Contractures of the carpometacarpal joint of the thumb	None
Contractures of the metacarpophalangeal joint of the thumb	None
Interphalangeal extension contractures of thumbs	None
Contractures of the interphalangeal joint of the thumb	None
Contracture of the distal interphalangeal joint of the fingers	None
Shagreen patch	None
Dental enamel pits	None
Tooth enamel pits	None
Pitting of tooth enamel	None
Dental enamel pitting	None
Flexion contracture of the hallux	None
Joint contracture of the big toe	None
Joint contracture of the hallux	None
Contracture of the tarsometatarsal joint of the hallux	None
Contracture of the interphalangeal joint of the hallux	None
Contractures of the metatarsophalangeal joint of the hallux	None
Flexion contracture of the 2nd toe	None
Joint contractures of the 2nd toe	None
Joint contractures of the 3rd toe	None
Flexion contracture of 3rd toe	None
Joint contractures of the 4th toe	None
Flexion contracture of the 4th toe	None
Flexion contracture of the 5th toe	None
Joint contractures of the 5th toe	None
Keloids	None
Dentinogenesis imperfecta of baby teeth	None
Dentinogenesis imperfecta limited to primary teeth	None
Dentin dysplasia	None
Localized hypoplasia of dental enamel	None
Localized dysplasia of tooth enamel	None
Localized hypoplasia of tooth enamel	None
Decreased enamel calcification	None
Hypocalcification of dental enamel	None
Poorly calcified tooth enamel	None
Soft teeth	None
Hypomature dental enamel	None
Immature tooth enamel	None
Soft tooth enamel	None
Dentinogenesis imperfecta of primary and permanent teeth	None
Dentinogenesis imperfecta of adult and baby teeth	None
Dentinogenesis imperfecta of both sets of teeth	None
Lipomatous tumor	None
Fatty lump	None
Lipoma	None
Noncancerous fatty lump	None
Sacral lipoma	None
Liposarcoma	None
Myxoid liposarcoma	None
Permanent flexion of the finger or toe	None
Camptodactyly	None
Bilateral wrist flexion contracture	None
Bilateral wrist contracture	None
Unilateral wrist flexion contracture	None
Unilateral wrist contracture	None
Inflammation of adipose tissue	None
Panniculitis	None
Inflammation of fat tissue	None
Flexion contracture of finger	None
Flexion deformity of finger	None
Disciform macular scar	None
Reduced intraabdominal adipose tissue	None
Posterolateral diaphragmatic hernia	None
Bochdalek hernia	None
Morgagni hernia	None
Morgagni diaphragmatic hernia	None
Central diaphragmatic hernia	None
Central hernia	None
Dorsocervical fat pad	None
Buffalo hump	None
Diet-resistant subcutaneous adipose tissue	None
Diet-resistant subcutaneous adipose tissue below waist	None
Flexion contracture of digit	None
Bethlem phenomenon	None
Bethlem sign	None
Contracture of proximal interphalangeal joints of 2nd-5th fingers	None
Adipocyte hypertrophy	None
Fat cell hypertrophy	None
Lipoma of the tongue	None
Tongue lipoma	None
Widened atrophic scar	None
Lower extremity subcutanous fat hypertrophy	None
Musculotendinous retraction	None
Decreased fat tissue	None
Decreased adipose tissue	None
Fatty tumors on the eyelids.	None
Lipomas of eyelids	None
Eosinophilic fasciitis	None
Lipomas of the central nervous system	None
Multiple central nervous system lipomas	None
Camptodactyly of the 2nd toe	None
Contracture of the proximal interphalangeal joint of the 2nd toe	None
Camptodactyly of the second toe	None
Contracture of the proximal interphalangeal joint of the 3rd toe	None
Camptodactyly of the 3rd toe	None
Camptodactyly of the fourth toe	None
Camptodactyly of the 4th toe	None
Contracture of the proximal interphalangeal joint of the 4th toe	None
Contracture of the innermost hinge joint of the 4th toe	None
Camptodactyly of the fifth toe	None
Camptodactyly of the 5th toe	None
Contractures of the proximal interphalangeal joint of the 5th toe	None
Contracture of the distal interphalangeal joint of the second toe	None
Contracture of the distal interphalangeal joint of the 2nd toe	None
Contracture of the distal interphalangeal joint of the 3rd toe	None
Contracture of the distal interphalangeal joint of the 4th toe	None
Contractures of the distal interphalangeal joint of the 5th toe	None
Contracture of the outermost hinge joint of the 5th toe	None
Contracture of the metatarsophalangeal joint of the 2nd toe	None
Contracture of the metatarsophalangeal joint of the 3rd toe	None
Contracture of the metatarsophalangeal joint of the 4th toe	None
Contracture of the metatarsophalangeal joint of the 5th toe	None
Contractures of the joints of the upper limbs	None
Camptodactyly of finger	None
Permanent flexion of the finger	None
Camptodactyly of hands	None
Proximal interphalangeal finger joint contractures	None
Contractures of the proximal interphalangeal joints of the fingers	None
Camptodactyly of proximal interphalangeal joint	None
Flexion contractures of proximal interphalangeal joints	None
Joint contractures involving the joints of the feet	None
Abnormality of the fascia	None
Inflammation of the fascia	None
Fasciitis	None
Femoral hernia	None
Crural hernia	None
Lipoatrophy	None
Atrophy of fat	None
Loss of fat tissue in localized area	None
Cystocele	None
Bladder hernia	None
Bladder prolapse	None
Prolapsed bladder	None
Dropped bladder	None
Bacterial infection of skin	None
Skin infection	None
Cellulitis	None
Vaginal hernia	None
Abnormal Sharpey fiber morphology	None
Abnormality of Sharpey fibers	None
Enthesis abnormality	None
Inflammation of sharpey fibers	None
Enthesitis	None
Lipedema	None
Scar tissue	None
Scarring	None
Abnormality of the cementum	None
Hernias	None
Hernia	None
Urethrocele	None
Rectocele	None
Genital hernia	None
Atrophodermia vermiculata	None
Vermiculata atrophoderma	None
Congenital mesoblastic nephroma	None
Connective tissue nevi	None
Tumor of fatty tissue	None
Neoplasm of fatty tissue	None
Macular scar	None
Macular scarring	None
Abnormality of tooth hard tissue	None
Abnormality of odontoid tissue	None
Abnormality of hard tissues of teeth	None
Small anterior nasal spine	None
Decreased size of anterior nasal spine	None
Hypotrophic anterior nasal spine	None
Underdevelopment of anterior nasal spine	None
Decreased length of anterior nasal spine	None
Hypoplasia of the anterior nasal spine	None
Deficiency of anterior nasal spine	None
Decreased projection of anterior nasal spine	None
Abnormality of medial pterygoid muscle	None
Tessier number 7 facial cleft	None
Tumor of the nasopharynx	None
Neoplasm of the nasopharynx	None
Nasopharyngeal neoplasm	None
Neoplasia of the nasopharynx	None
Boxer's nose deformity	None
Saddle nose deformity	None
Saddle shaped nasal dorsum	None
Saddle nose	None
Concave nasal dorsum	None
Concave dorsum of nose	None
Boxer's nasal deformity	None
Concave nasal ridge	None
Ski jump nose	None
Pink eye	None
Conjunctivitis, recurrent	None
Conjunctivitis	None
Central cleft palate	None
Median cleft palate	None
Midline cleft palate	None
Small, pointed teeth	None
Conical microdontia	None
Small, conical teeth	None
Small, cone shaped teeth	None
Small, peg shaped teeth	None
Slender nose	None
Abnormality of the intermaxillary bone	None
Abnormality of the intermaxillary segment of the maxilla	None
Abnormality of the primary palate bone	None
Abnormality of the premaxillary bone	None
Abnormality of the premaxilla	None
Underdevelopment of bone of forehead	None
Small bone of forehead	None
Decreased size of bone of forehead	None
Hypotrophic frontal bone	None
Hypoplastic frontal bones	None
Hypoplasia of the frontal bone	None
Thin bone of forehead	None
Hypotrophic frontal bones	None
Wedge shaped cranium	None
Wedge shaped skull	None
Triangular head shape	None
Trigonocephaly	None
Triangular skull shape	None
Wedge shaped head	None
Triangular cranium shape	None
leukokeratosis	None
Oral white patch	None
Oral idiopathic leukoplakia	None
